PAAC1,PAAC2,PAAC3,PAAC4,PAAC5,PAAC6,PAAC7,PAAC8,PAAC9,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC30,PAAC31,PAAC32,PAAC33,PAAC34,PAAC35,PAAC36,PAAC37,PAAC38,PAAC39,PAAC40,PAAC41,PAAC42,PAAC43,PAAC44,PAAC45,PAAC46,PAAC47,PAAC48,PAAC49,PAAC50,PAAC51,PAAC52,PAAC53,PAAC54,PAAC55,PAAC56,PAAC57,PAAC58,PAAC59,PAAC60,PAAC61,PAAC62,PAAC63,PAAC64,PAAC65,PAAC66,class
1.033,0.933,2.132,1.199,0.35,0.766,1.0,1.516,0.9,0.15,0.683,0.816,1.583,1.787,1.735,1.762,1.768,1.819,1.721,1.737,1.802,1.765,0.783,1.779,1.775,1.715,1.771,1.802,1.774,1.709,1.8,1.807,1.759,1.05,1.734,1.734,1.736,1.712,1.71,1.708,1.772,1.725,1.71,1.788,0.433,1.818,1.718,1.74,1.76,1.729,1.827,1.729,1.789,1.763,1.765,1.216,1.744,1.831,1.718,1.712,1.701,1.781,1.78,0.933,1.15,0.55,0
1.356,1.356,3.088,0.678,0.301,1.732,1.28,1.958,1.506,0.151,1.054,0.527,1.657,1.588,1.642,1.724,1.788,1.66,1.697,1.54,1.662,1.64,0.979,1.59,1.708,1.745,1.615,1.652,1.601,1.741,1.542,1.551,1.668,0.301,1.62,1.754,1.694,1.769,1.682,1.615,1.809,1.751,1.738,1.721,0.226,1.694,1.753,1.614,1.688,1.657,1.668,1.868,1.812,1.825,1.811,0.828,1.759,1.824,1.806,1.834,1.746,1.764,1.826,0.678,1.506,0.376,0
1.399,0.744,2.144,0.804,0.476,0.983,1.012,1.906,0.744,0.268,0.983,1.012,0.893,1.819,1.887,1.856,1.779,1.799,1.733,1.762,1.694,1.879,0.893,1.824,1.805,1.625,1.704,1.824,1.823,1.726,1.855,1.865,1.751,0.834,1.663,1.834,1.824,1.778,1.699,1.693,1.808,1.818,1.703,1.76,0.328,1.767,1.824,1.742,1.796,1.755,1.767,1.684,1.789,1.786,1.781,1.191,1.752,1.679,1.781,1.71,1.788,1.792,1.821,0.506,0.715,0.566,0
1.322,1.663,1.578,1.749,0.298,0.981,0.426,1.962,1.791,0.043,0.597,0.426,1.493,1.793,1.683,1.695,1.783,1.769,1.588,1.75,1.701,1.678,1.279,1.717,1.681,1.606,1.816,1.821,1.723,1.874,1.609,1.709,1.751,1.407,1.713,1.699,1.838,1.657,1.821,1.807,1.737,1.751,1.89,1.697,0.128,1.786,1.812,1.717,1.696,1.739,1.735,1.759,1.652,1.745,1.73,0.938,1.873,1.618,1.797,1.715,1.559,1.787,1.836,0.341,1.194,0.469,0
1.399,0.744,2.144,0.804,0.476,0.983,1.012,1.906,0.744,0.268,0.983,1.012,0.893,1.819,1.887,1.856,1.779,1.799,1.733,1.762,1.694,1.879,0.893,1.824,1.805,1.625,1.704,1.824,1.823,1.726,1.855,1.865,1.751,0.834,1.663,1.834,1.824,1.778,1.699,1.693,1.808,1.818,1.703,1.76,0.328,1.767,1.824,1.742,1.796,1.755,1.767,1.684,1.789,1.786,1.781,1.191,1.752,1.679,1.781,1.71,1.788,1.792,1.821,0.506,0.715,0.566,0
1.719,1.306,2.475,0.756,0.619,1.306,1.306,0.825,1.375,0.413,0.688,0.756,1.719,1.716,1.676,1.651,1.746,1.706,1.625,1.736,1.679,1.844,0.963,1.707,1.758,1.916,1.761,1.691,1.845,1.757,1.79,1.902,1.65,0.275,1.761,1.75,1.753,1.826,1.658,1.742,1.656,1.65,1.803,1.691,0.138,1.651,1.812,1.689,1.762,1.839,1.647,1.746,1.805,1.735,1.849,0.619,1.67,1.735,1.86,1.778,1.644,1.756,1.708,0.413,1.925,0.275,0
0.498,1.494,1.618,1.12,0.622,1.369,0.747,1.369,1.743,0.124,1.12,0.996,1.369,1.818,1.87,1.818,1.688,1.807,2.041,1.927,1.776,1.8,0.747,1.741,1.698,1.713,1.724,1.767,1.731,1.787,1.665,1.699,1.789,0.871,1.707,1.739,1.577,1.789,1.616,1.917,1.642,1.86,1.804,1.821,0.498,1.742,1.561,1.569,1.679,1.794,1.57,1.807,1.746,1.912,1.706,1.245,1.922,1.741,1.629,1.6,1.812,2.045,1.539,0.747,0.373,0.622,0
1.549,0.238,2.978,0.834,0.715,1.191,1.072,0.953,0.953,0.238,0.357,0.715,1.668,1.723,1.884,1.798,1.658,1.702,1.843,1.708,1.588,1.654,0.238,1.539,1.722,1.771,1.725,1.816,1.955,1.73,1.71,1.768,1.608,0.834,1.791,1.662,1.789,1.906,1.887,1.709,1.619,1.879,1.832,1.576,0.357,1.629,1.87,1.646,1.774,1.797,1.81,1.766,1.685,1.731,1.943,1.31,1.819,1.917,1.802,1.637,1.905,1.862,1.913,0.953,1.429,0.357,0
1.011,1.149,2.206,1.333,0.414,1.195,0.414,1.379,0.598,0.138,0.781,0.689,1.195,1.798,1.675,1.737,1.868,1.833,1.716,1.781,1.637,1.763,0.827,1.751,1.734,1.693,1.82,1.797,1.706,1.892,1.751,1.809,1.831,1.379,1.756,1.739,1.749,1.718,1.798,1.807,1.818,1.758,1.813,1.673,0.414,1.717,1.827,1.774,1.84,1.887,1.77,1.836,1.772,1.828,1.723,1.011,1.766,1.712,1.773,1.792,1.741,1.884,1.98,0.46,1.011,0.552,0
1.329,2.481,2.747,0.886,0.62,1.861,1.241,2.216,1.152,0.443,0.975,0.443,1.241,1.698,1.724,1.567,1.679,1.664,1.724,1.583,1.799,1.708,0.354,1.666,1.692,1.725,1.747,1.527,1.826,1.77,1.548,1.844,1.736,0.266,1.718,1.783,1.782,1.727,1.738,1.774,1.725,1.79,1.705,1.766,0.354,1.759,1.488,1.619,1.611,1.715,1.645,1.558,1.68,1.71,1.683,0.354,1.821,1.733,1.754,1.581,1.666,1.664,1.598,0.886,1.418,0.709,0
1.191,1.638,2.085,0.894,1.043,1.191,0.894,1.638,0.894,0.149,1.191,0.894,0.745,1.869,1.995,1.808,1.654,1.762,1.947,1.614,1.665,1.754,1.341,2.109,1.738,1.463,1.643,1.736,1.636,1.586,1.777,1.696,1.576,1.043,1.835,1.821,1.787,1.599,1.837,1.985,1.674,1.692,1.654,1.841,0.0,1.788,1.337,1.707,1.929,1.582,1.34,1.819,1.912,1.633,1.532,0.894,1.76,1.864,1.694,1.554,1.83,1.937,1.771,1.489,0.298,0.745,0
2.442,0.61,1.919,0.959,0.174,0.872,0.349,0.785,1.047,0.174,0.174,1.483,1.308,1.803,1.864,1.987,1.892,1.682,1.712,1.676,1.781,1.917,0.349,1.692,1.896,1.819,1.794,1.74,1.864,1.806,1.886,1.74,1.778,0.436,1.844,1.715,1.778,1.791,1.864,1.867,1.776,1.92,1.607,1.724,0.174,1.806,1.879,1.64,1.857,1.721,1.904,1.881,1.772,1.862,1.758,1.395,1.884,1.881,1.898,1.928,1.772,1.973,1.972,0.436,0.959,0.349,0
