PAAC1,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC2,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC3,PAAC30,PAAC31,PAAC32,PAAC33,PAAC34,PAAC35,PAAC36,PAAC37,PAAC38,PAAC39,PAAC4,PAAC40,PAAC41,PAAC42,PAAC43,PAAC44,PAAC45,PAAC46,PAAC47,PAAC48,PAAC49,PAAC5,PAAC50,PAAC51,PAAC52,PAAC53,PAAC54,PAAC55,PAAC56,PAAC57,PAAC58,PAAC59,PAAC6,PAAC60,PAAC61,PAAC62,PAAC63,PAAC64,PAAC65,PAAC66,PAAC7,PAAC8,PAAC9,class
1.463,0.209,2.455,0.679,0.209,0.522,1.776,0.731,0.784,0.366,0.313,1.358,1.567,1.843,1.607,1.62,1.847,1.677,1.789,1.683,1.827,1.784,0.261,1.607,1.931,1.761,1.772,1.834,1.659,1.855,1.631,1.929,1.894,0.784,1.806,1.898,1.699,1.836,1.752,1.782,1.891,1.719,1.882,1.871,0.157,1.824,1.79,1.864,1.823,1.809,1.91,1.77,1.848,1.797,1.819,1.149,1.795,1.837,1.838,1.894,1.805,1.648,1.745,0.993,1.358,0.366,0
1.335,0.904,2.376,0.978,0.547,0.673,1.272,1.724,1.146,0.2,0.347,0.978,1.114,1.765,1.844,1.688,1.666,1.829,1.785,1.657,1.749,1.752,0.641,1.731,1.722,1.756,1.756,1.775,1.692,1.745,1.736,1.725,1.786,1.041,1.752,1.747,1.759,1.739,1.735,1.716,1.757,1.752,1.744,1.731,0.379,1.762,1.77,1.765,1.75,1.706,1.739,1.75,1.784,1.76,1.811,1.514,1.812,1.719,1.784,1.74,1.739,1.731,1.744,0.746,1.062,0.568,0
1.803,0.364,2.282,1.093,0.499,0.173,0.825,1.227,0.825,0.077,0.268,1.285,0.806,1.709,1.704,1.717,1.713,1.728,1.782,1.658,1.889,1.806,0.691,1.791,1.688,1.796,1.843,1.63,1.783,1.769,1.712,1.718,1.823,0.652,1.792,1.526,1.794,1.832,1.794,1.737,1.84,1.811,1.723,1.823,0.211,1.798,1.709,1.714,1.772,1.827,1.638,1.81,1.787,1.725,1.716,2.704,1.846,1.773,1.708,1.802,1.748,1.78,1.698,2.148,0.94,0.345,0
1.111,0.602,1.713,1.019,0.324,0.324,0.741,0.973,0.602,0.046,0.232,1.436,1.343,1.694,1.692,1.796,1.749,1.853,1.811,1.654,1.756,1.773,1.25,1.603,1.687,1.653,1.787,1.684,1.675,1.835,1.805,1.807,1.751,1.019,1.914,1.554,1.648,1.856,1.767,1.771,1.871,1.958,1.764,1.74,0.139,1.748,1.862,1.704,1.733,1.904,1.768,1.72,1.853,1.879,1.867,2.269,1.824,1.994,1.709,1.596,1.784,1.866,1.71,1.991,1.297,0.139,0
1.623,0.564,1.533,1.082,0.316,0.744,1.42,1.375,0.947,0.451,0.27,1.082,1.172,1.836,1.869,1.681,1.738,1.765,1.802,1.712,1.859,1.84,0.564,1.743,1.726,1.79,1.788,1.801,1.754,1.8,1.775,1.729,1.767,0.902,1.713,1.825,1.783,1.805,1.786,1.752,1.81,1.759,1.851,1.688,0.248,1.803,1.831,1.744,1.793,1.767,1.776,1.708,1.755,1.881,1.727,1.51,1.738,1.867,1.728,1.797,1.713,1.87,1.745,0.789,1.262,0.361,0
1.592,0.878,4.171,0.659,0.439,1.701,0.384,1.701,1.043,0.384,0.439,0.768,1.262,1.734,1.7,1.73,1.642,1.755,1.693,1.693,1.844,1.657,0.329,1.742,1.791,1.735,1.857,1.737,1.8,1.759,1.785,1.789,1.829,0.494,1.703,1.679,1.732,1.675,1.716,1.728,1.794,1.668,1.633,1.752,0.22,1.702,1.771,1.697,1.641,1.776,1.783,1.857,1.798,1.682,1.644,0.823,1.781,1.832,1.755,1.793,1.704,1.731,1.679,0.659,1.646,0.439,0
1.787,0.936,2.128,1.107,0.596,0.936,0.426,1.277,0.851,0.17,0.766,0.936,1.107,1.677,1.803,1.624,1.61,1.735,1.762,1.642,1.646,1.672,0.596,1.624,1.781,1.662,1.659,1.672,1.813,1.779,1.931,1.921,1.864,0.936,1.617,1.896,1.869,1.638,1.75,1.876,1.718,1.707,1.9,2.01,0.34,1.762,1.662,1.901,1.8,1.744,1.857,1.848,1.975,1.647,1.664,1.192,1.918,1.965,1.835,1.747,1.921,1.808,1.789,1.277,0.596,0.34,0
1.541,1.088,1.45,0.906,0.997,1.179,0.272,0.816,1.269,0.091,0.635,0.906,1.632,1.787,1.797,1.745,1.629,1.684,1.659,1.645,1.859,1.658,0.635,1.747,1.815,1.705,1.808,1.777,1.917,1.759,1.909,1.863,2.028,0.816,1.695,1.946,1.869,1.691,1.826,1.685,1.941,1.838,1.861,1.914,0.181,1.76,1.722,1.696,1.878,1.902,1.715,1.721,1.574,1.814,1.589,1.813,1.727,1.829,1.951,1.719,1.614,1.641,1.869,0.363,1.179,0.453,0
0.865,0.865,1.946,0.865,0.432,0.721,0.505,0.793,1.009,0.36,0.505,1.297,1.297,1.731,1.697,1.777,1.766,1.846,1.933,1.711,1.888,1.637,0.36,1.702,1.798,1.697,1.845,1.815,2.043,1.799,1.807,1.88,1.645,0.505,1.878,1.596,1.777,1.635,1.883,1.818,1.875,1.938,1.892,1.828,0.144,1.773,1.865,1.888,1.686,1.878,1.577,1.907,1.696,1.961,1.889,1.586,1.939,1.888,1.632,1.781,1.729,2.012,1.823,1.225,1.153,0.505,0
1.019,1.019,2.272,1.332,0.47,1.097,0.627,1.175,0.783,0.078,0.548,1.097,0.783,1.716,1.781,1.619,1.759,1.796,1.663,1.884,1.848,1.781,0.392,1.843,1.908,1.67,1.851,1.688,1.816,1.703,1.725,1.882,1.829,0.862,1.928,1.796,1.932,1.954,1.679,1.802,1.843,1.884,1.815,1.941,0.235,1.73,1.748,1.817,1.769,1.885,1.887,1.727,1.681,1.911,1.682,1.567,1.639,1.87,1.847,1.84,1.763,1.764,1.943,0.235,1.175,0.392,0
