PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
0.522,0.784,1.6769999999999998,1.7890000000000001,2.455,0.313,1.607,1.864,0.157,1.761,0.679,1.79,0
0.6729999999999999,1.041,1.829,1.785,2.376,0.34700000000000003,1.844,1.765,0.379,1.756,0.978,1.77,0
0.17300000000000001,0.652,1.7280000000000002,1.7819999999999998,2.282,0.268,1.704,1.714,0.21100000000000002,1.796,1.093,1.709,0
0.324,1.0190000000000001,1.8530000000000002,1.811,1.713,0.23199999999999998,1.692,1.704,0.139,1.653,1.0190000000000001,1.8619999999999999,0
0.7440000000000001,0.902,1.765,1.8019999999999998,1.5330000000000001,0.27,1.869,1.744,0.248,1.79,1.082,1.831,0
1.7009999999999998,0.494,1.755,1.693,4.171,0.439,1.7,1.6969999999999998,0.22,1.735,0.659,1.771,0
0.9359999999999999,0.9359999999999999,1.735,1.7619999999999998,2.128,0.7659999999999999,1.8030000000000002,1.901,0.34,1.662,1.107,1.662,0
1.179,0.816,1.6840000000000002,1.659,1.45,0.635,1.797,1.696,0.18100000000000002,1.705,0.9059999999999999,1.722,0
0.721,0.505,1.8459999999999999,1.933,1.946,0.505,1.6969999999999998,1.8880000000000001,0.14400000000000002,1.6969999999999998,0.865,1.865,0
1.097,0.862,1.796,1.663,2.272,0.5479999999999999,1.781,1.817,0.235,1.67,1.3319999999999999,1.7480000000000002,0
0.8029999999999999,0.8440000000000001,1.725,1.7790000000000001,2.083,0.626,1.7990000000000002,1.7919999999999998,0.395,1.712,1.1840000000000002,1.723,0
0.319,0.996,1.7719999999999998,1.818,2.559,0.179,1.784,1.686,0.11900000000000001,1.7590000000000001,1.8419999999999999,1.739,0
0.94,0.94,1.806,1.725,1.923,0.513,1.858,1.7730000000000001,0.769,1.785,1.068,1.7209999999999999,0
0.9309999999999999,0.31,1.695,1.5290000000000001,2.173,0.9309999999999999,1.643,1.421,0.31,1.733,1.3969999999999998,1.875,0
0.777,1.36,1.806,2.006,2.234,0.486,1.936,1.7369999999999999,0.583,1.755,1.36,1.821,0
1.041,0.6940000000000001,1.742,1.875,1.504,1.157,1.706,1.786,0.34700000000000003,1.694,1.041,1.65,0
1.58,0.555,1.568,1.632,2.6910000000000003,1.068,1.605,1.75,0.47,1.655,0.8540000000000001,1.693,0
0.386,1.607,1.6569999999999998,1.817,1.2209999999999999,0.0,1.771,1.6580000000000001,0.0,1.7109999999999999,2.378,1.656,0
1.485,0.7070000000000001,1.735,1.749,2.616,0.7070000000000001,1.608,1.714,0.212,1.6880000000000002,0.212,1.643,0
0.9179999999999999,0.551,1.704,1.6880000000000002,2.295,0.36700000000000005,1.714,1.686,0.184,1.885,0.275,1.7309999999999999,0
1.7930000000000001,0.867,1.662,1.715,2.57,0.687,1.6219999999999999,1.6440000000000001,0.508,1.755,0.9259999999999999,1.696,0
0.88,1.138,1.8459999999999999,1.8330000000000002,1.682,0.6729999999999999,1.768,1.722,0.311,1.709,0.983,1.804,0
1.02,1.122,1.75,1.676,1.632,0.7140000000000001,1.675,1.766,0.204,1.6569999999999998,0.9690000000000001,1.785,0
1.227,1.227,1.693,1.709,1.571,0.687,1.699,1.6980000000000002,0.491,1.764,1.374,1.84,0
0.7440000000000001,1.213,1.706,1.683,2.465,0.235,1.642,1.7830000000000001,0.391,1.7,0.9390000000000001,1.681,0
0.611,0.9590000000000001,1.617,1.722,2.4419999999999997,0.349,1.858,1.7309999999999999,0.087,1.7790000000000001,0.872,1.665,0
0.617,0.9009999999999999,1.614,1.72,1.945,0.42700000000000005,1.706,1.7409999999999999,0.332,1.7409999999999999,0.522,1.665,0
0.958,1.597,1.795,1.859,1.4369999999999998,0.585,1.743,1.65,0.266,1.6269999999999998,0.905,1.7409999999999999,0
1.138,1.093,1.796,1.7369999999999999,1.5930000000000002,0.455,1.87,1.732,0.046,1.794,1.229,1.693,0
0.799,0.9129999999999999,1.7530000000000001,1.8359999999999999,2.055,0.228,2.0069999999999997,1.7080000000000002,0.228,2.053,1.712,1.4669999999999999,0
1.65,0.95,1.778,1.7180000000000002,1.55,1.3,1.8030000000000002,1.808,0.1,1.8630000000000002,0.75,1.9169999999999998,0
1.4169999999999998,0.794,1.849,1.889,1.871,0.9640000000000001,1.7819999999999998,1.871,0.34,1.989,1.077,1.724,0
0.845,1.067,1.739,1.7169999999999999,1.867,1.067,1.808,1.7730000000000001,0.133,1.839,1.3780000000000001,1.831,0
0.8220000000000001,0.904,1.79,1.7690000000000001,1.6030000000000002,0.8220000000000001,1.7830000000000001,1.76,0.20600000000000002,1.821,1.028,1.858,0
1.264,1.454,1.797,1.849,1.77,0.917,1.781,1.7280000000000002,0.221,1.7080000000000002,1.454,1.736,0
