FI,SF,NT,PT,EL,MY,SI,IL,AE,RA,EE,LE,FP,GY,EK,YF,SP,RT,VS,SG,VA,EQ,AG,GG,RS,TV,TG,TP,LA,HN,LG,KF,LS,KY,RR,DG,RG,GD,CS,DD,RD,NG,GN,GT,AV,IC,GE,PD,DC,GK,KG,DE,RY,CE,DR,NY,QG,CD,AY,GR,AD,YA,EC,GS,RA,EG,RK,NC,CK,VD,VR,PAAC14,PAAC4,PAAC25,PAAC26,PAAC11,PAAC19,PAAC22,PAAC52,PAAC5,PAAC32,PAAC12,PAAC51,class
0.03968254,0.048840049,0.120433561,0.125786164,0.075954861,0,0.137362637,0.041852679,0.067204301,0.065832785,0.115740741,0.054253472,0.148148148,0,0.154320988,0.054200542,0.073260073,0.115517905,0.02313476,0.11148272,0.101867572,0.124007937,0.046750818,0.084015963,0.022426553,0.099304866,0.082034454,0.031446541,0.075604839,0,0.09057971,0.12345679,0.137362637,0.067750678,3.256213628,2.218750959,2.289315565,4.657577349,2.524149307,2.298053045,1.936957912,3.247922366,2.339473292,3.377917447,4.799788981,1.556360715,4.336711923,3.287559936,1.155624187,3.349375622,2.302268128,2.487604292,2.333423832,1.784762711,2.325640207,1.397098577,2.649668672,0.72696597,1.158627872,3.158282712,3.287352473,1.599773128,1.800281923,4.764221149,3.052677318,4.547063738,3.929936345,1.049239899,1.07925556,3.409212126,3.678365616,0.766,1.05,1.819,1.721,2.132,0.683,1.735,1.74,0.433,1.715,1.199,1.718,0
0.241545894,0.836120401,0,0.619195046,0.227272727,0,0.641025641,0.277777778,0,0,0.826446281,0.227272727,0.511508951,0.37593985,0,0,0,1.503759398,0.34965035,0.20242915,0.252525253,2.02020202,0.584795322,0.831024931,0,0.23923445,0.55401662,0.309597523,0.555555556,1.538461538,0.394736842,0.483091787,0.384615385,0.793650794,0.745261685,0.398378718,0.910913767,0.449691752,0.277621988,0.211516406,0.312203861,0.635067398,0.684719613,1.948015169,1.505119972,0.354752583,0.622246992,0.512206432,0.067868369,0.40805076,0.443112388,0.2660005,0.392448015,0.112631635,0.329750089,0.237436912,0.529104757,0.04627883,0.750364395,1.314042361,0.346205968,0.621193793,0.147624109,2.32460662,0.743567231,0.778239229,0.334422516,0.104044316,0.058311162,0.368299779,0.662302598,1.732,0.301,1.66,1.697,3.088,1.054,1.642,1.614,0.226,1.745,0.678,1.753,0
0.252525253,0.336700337,0,0,0.173611111,0.378787879,0.132275132,0.115740741,0.106382979,0.062578223,0.1875,0.173611111,0.091827365,0.378787879,0.092592593,0.091827365,0.096200096,0.352941176,0.052910053,0.132275132,0.212765957,0.441176471,0.177304965,0.173611111,0.093370682,0,0,0.363636364,0.11820331,0.526315789,0.231481481,0,0.198412698,0.224466891,3.258986869,1.589345584,2.592931513,2.212384911,0.616771119,2.703354014,2.902521687,1.544556424,1.333889761,1.713978682,3.079974372,0.36161136,1.868607059,1.739856946,0.310799171,1.589191593,2.12408796,2.361548262,1.05096964,0.365320978,1.232384019,0.792308935,1.366108664,0.26555497,1.45379943,2.12026429,2.929862612,2.632034091,0.280197564,4.028743003,2.81925205,1.35583241,3.45390276,0.231035068,0.223164841,1.662010738,2.632020507,0.983,0.834,1.799,1.733,2.144,0.983,1.887,1.742,0.328,1.625,0.804,1.824,0
0.114416476,0.094517958,0.158730159,0.714285714,0.245700246,1.020408163,0.343249428,0.284495021,0.151515152,0,0.41322314,0,0,0.255102041,0.110864745,0.621118012,0.217391304,0.238095238,0.124223602,0.388198758,0.380952381,0.568181818,0.238095238,0.12755102,0.217391304,0.340136054,0.170068027,0.238095238,0.27027027,0,0.193050193,0.212089077,0.352526439,0.174216028,0.853177902,1.824794657,0.872963569,1.288627373,0.382541732,2.001917336,0.915358965,1.217213186,1.479520756,1.752725896,3.217964353,0.286691616,1.675472136,1.862852438,0.230580696,1.759907045,1.637121579,1.966662416,0.480333291,0.133732584,0.761209163,0.405461182,0.724351058,0.19489358,1.091283353,1.215107401,2.024130801,0.971653901,0.117255564,2.811594912,1.2460292,1.3192468,1.308268931,0.230332479,0.188056501,1.888047986,1.438475588,0.981,1.407,1.769,1.588,1.578,0.597,1.683,1.717,0.128,1.606,1.749,1.812,0
0.252525253,0.336700337,0,0,0.173611111,0.378787879,0.132275132,0.115740741,0.106382979,0.062578223,0.1875,0.173611111,0.091827365,0.378787879,0.092592593,0.091827365,0.096200096,0.352941176,0.052910053,0.132275132,0.212765957,0.441176471,0.177304965,0.173611111,0.093370682,0,0,0.363636364,0.11820331,0.526315789,0.231481481,0,0.198412698,0.224466891,3.258986869,1.589345584,2.592931513,2.212384911,0.616771119,2.703354014,2.902521687,1.544556424,1.333889761,1.713978682,3.079974372,0.36161136,1.868607059,1.739856946,0.310799171,1.589191593,2.12408796,2.361548262,1.05096964,0.365320978,1.232384019,0.792308935,1.366108664,0.26555497,1.45379943,2.12026429,2.929862612,2.632034091,0.280197564,4.028743003,2.81925205,1.35583241,3.45390276,0.231035068,0.223164841,1.662010738,2.632020507,0.983,0.834,1.799,1.733,2.144,0.983,1.887,1.742,0.328,1.625,0.804,1.824,0
0,0.438596491,0,0.833333333,0.317460317,0,0.438596491,0.30075188,0,0,0,1.587301587,0.584795322,0,0,0.526315789,0.462962963,0,1,0.297619048,0.48,0,0.428571429,0.382653061,0,0.2,0.357142857,0.555555556,0.342857143,1.785714286,0.204081633,0,0.238095238,0,0.689518159,0.401957528,0.789939831,0.463709125,0.258920782,0.190785501,0.265268907,0.536970576,0.693159204,1.716270621,1.522447573,0.355360073,0.749059612,0.473863407,0.060735051,0.449112081,0.310544849,0.257110548,0.445163295,0.082342663,0.309988617,0.254764714,0.616444266,0.085435134,0.750526027,1.262086163,0.373465565,0.616871326,0.164204754,1.980103821,0.862620064,0.93045914,0.319894096,0.125663982,0.084992342,0.503927094,0.743922497,1.306,0.275,1.706,1.625,2.475,0.688,1.676,1.689,0.138,1.916,0.756,1.812,0
0,0,1.19047619,0,0,0,0,0.694444444,0,0,1,0.833333333,3.333333333,0,1.111111111,1.111111111,0,0.892857143,0.909090909,3.333333333,2.272727273,0,8.333333333,0,1.25,0.649350649,0,1.19047619,0,0,0,0,0.833333333,2.469135802,0.225592274,0.438795897,0.442874717,0.285690145,0.096786227,0.682221465,0.473868196,0.316456656,0.283264799,0.62546623,0.307898588,0.05887785,0.412630997,0.354878753,0.083345573,0.340107625,0.28310989,0.835172934,0.263806556,0.139598137,0.899547601,0.265790113,0.236406594,0.039122601,0.305858308,0.267317662,0.21874012,0.325005514,0.184829199,0.540377498,0.293171105,0.414972942,0.463716671,0.130535154,0.076691379,0.438043755,0.916536924,1.369,0.871,1.807,2.041,1.618,1.12,1.87,1.569,0.498,1.713,1.12,1.561,0
10,0,6.25,0,0.363636364,0,0,0,0.699300699,2.564102564,0.826446281,1.090909091,0,0,1.298701299,0,0,0,1.020408163,1.19047619,0,0,0.641025641,2.083333333,0,0,1.041666667,0,0.615384615,0,0.666666667,1.428571429,1.714285714,0,0.117289566,0.310671973,1.161461723,0.28143419,0.066765797,0.407224957,0.594587783,0.212037682,0.15828084,0.704378602,0.591102941,0.437390035,0.549891707,0.243477626,0.114267534,0.479450755,0.224116862,1.00678069,0.107573362,0.029683589,0.243449417,0.084149175,0.933720072,0.017755746,0.260058356,0.167472681,0.998762108,0.256193649,0.097643821,0.315510362,0.273166621,0.543578396,0.248867867,0.052630174,1.210327094,0.416140157,0.376052454,1.191,0.834,1.702,1.843,2.978,0.357,1.884,1.646,0.357,1.771,0.834,1.87,0
0.461538462,0.256410256,0,0,0.096711799,0.694444444,0.4,0.085106383,0.20661157,0,0,0.290135397,0,0.284090909,0.313479624,0,0.37037037,0,0.384615385,0,0.174825175,0,0.41322314,0.20661157,0.222222222,0.887573964,0.34965035,0,0.096711799,0,0.386847195,0.132625995,0.425531915,0.215517241,0.468352159,2.053390252,0.807772525,1.156391342,0.55253988,1.461491789,0.613859259,1.190631077,1.046782187,1.573977791,2.60508691,0.34247876,1.50684633,1.629361632,0.271658502,1.795970603,1.554046436,1.233820622,0.519925477,0.143501312,0.660209609,0.702641222,0.597405111,0.20750304,0.831061985,1.051991234,1.61106629,0.818292512,0.143694433,2.561638966,0.957642889,1.072159933,1.153883245,0.30356079,0.260880419,1.465021617,1.411673172,1.195,1.379,1.833,1.716,2.206,0.781,1.675,1.774,0.414,1.693,1.333,1.827,0
0,0.19047619,0,0.549450549,0,0,0.571428571,0.238095238,0,0,0,0.833333333,0.340136054,0,2.5,0.865800866,0,0,0.857142857,0.266666667,0,0,0.888888889,1.777777778,0,0.549450549,0.512820513,0.549450549,0.666666667,3.125,0.444444444,0,0.266666667,0.909090909,0.46087311,0.290017963,0.393649668,0.174264428,0.118827308,0.063940381,0.124833688,0.377598087,0.48595136,1.471540235,1.56825782,0.212389488,0.392715472,0.215745466,0.043704701,0.482433994,0.273125699,0.157959447,0.478364394,0.018052592,0.169564007,0.183870074,0.302458864,0.012211983,0.415886973,1.401884294,0.125037355,0.708234268,0.084624027,1.866874031,0.533321922,0.6110753,0.271125267,0.041223248,0.067283966,0.454693357,0.516066683,1.861,0.266,1.664,1.724,2.747,0.975,1.724,1.619,0.354,1.725,0.886,1.488,0
