PAAC1,PAAC10,PAAC11,PAAC12,PAAC13,PAAC14,PAAC15,PAAC16,PAAC17,PAAC18,PAAC19,PAAC2,PAAC20,PAAC21,PAAC22,PAAC23,PAAC24,PAAC25,PAAC26,PAAC27,PAAC28,PAAC29,PAAC3,PAAC30,PAAC31,PAAC32,PAAC33,PAAC34,PAAC35,PAAC36,PAAC37,PAAC38,PAAC39,PAAC4,PAAC40,PAAC41,PAAC42,PAAC43,PAAC44,PAAC45,PAAC46,PAAC47,PAAC48,PAAC49,PAAC5,PAAC50,PAAC51,PAAC52,PAAC53,PAAC54,PAAC55,PAAC56,PAAC57,PAAC58,PAAC59,PAAC6,PAAC60,PAAC61,PAAC62,PAAC63,PAAC64,PAAC65,PAAC66,PAAC7,PAAC8,PAAC9,class
6.920000000000000595e-01,1.411000000000000032e+00,2.656000000000000139e+00,1.245000000000000107e+00,3.599999999999999867e-01,1.549000000000000155e+00,4.699999999999999734e-01,1.825999999999999845e+00,8.299999999999999600e-01,1.660000000000000087e-01,5.529999999999999361e-01,6.360000000000000098e-01,1.024000000000000021e+00,1.848000000000000087e+00,1.939999999999999947e+00,1.654000000000000137e+00,1.713999999999999968e+00,1.816999999999999948e+00,1.719000000000000083e+00,1.730999999999999872e+00,1.826999999999999957e+00,1.756000000000000005e+00,1.328000000000000069e+00,1.771999999999999797e+00,1.710999999999999854e+00,1.699000000000000066e+00,1.766999999999999904e+00,1.766000000000000014e+00,1.736999999999999877e+00,1.811999999999999833e+00,1.715000000000000080e+00,1.739999999999999991e+00,1.728000000000000203e+00,1.050999999999999934e+00,1.733000000000000096e+00,1.780999999999999917e+00,1.759000000000000119e+00,1.639000000000000012e+00,1.771999999999999797e+00,1.745999999999999996e+00,1.760999999999999899e+00,1.748000000000000220e+00,1.770000000000000018e+00,1.729999999999999982e+00,3.599999999999999867e-01,1.710999999999999854e+00,1.679999999999999938e+00,1.720999999999999863e+00,1.764000000000000012e+00,1.844999999999999973e+00,1.828999999999999959e+00,1.655000000000000027e+00,1.663000000000000034e+00,1.669000000000000039e+00,1.800999999999999934e+00,1.355999999999999872e+00,1.833000000000000185e+00,1.774999999999999911e+00,1.774000000000000021e+00,1.820000000000000062e+00,1.713999999999999968e+00,1.720999999999999863e+00,1.739999999999999991e+00,1.161999999999999922e+00,3.870000000000000107e-01,3.320000000000000173e-01,0.000000000000000000e+00
4.010000000000000231e-01,1.354000000000000092e+00,3.158999999999999808e+00,1.404000000000000137e+00,1.000000000000000056e-01,1.002999999999999892e+00,8.020000000000000462e-01,1.705000000000000071e+00,1.804999999999999938e+00,1.499999999999999944e-01,5.520000000000000462e-01,6.019999999999999796e-01,1.052999999999999936e+00,1.780000000000000027e+00,1.913000000000000034e+00,1.745999999999999996e+00,1.620999999999999996e+00,1.743000000000000105e+00,1.756000000000000005e+00,1.639999999999999902e+00,1.604000000000000092e+00,1.794999999999999929e+00,1.804999999999999938e+00,1.733999999999999986e+00,1.710999999999999854e+00,1.814999999999999947e+00,1.703999999999999959e+00,1.713999999999999968e+00,1.749000000000000110e+00,1.749000000000000110e+00,1.721999999999999975e+00,1.811999999999999833e+00,1.628000000000000114e+00,1.754999999999999893e+00,1.746999999999999886e+00,1.748000000000000220e+00,1.678000000000000158e+00,1.588999999999999968e+00,1.620000000000000107e+00,1.781999999999999806e+00,1.681999999999999940e+00,1.703000000000000069e+00,1.831999999999999851e+00,1.643000000000000016e+00,2.510000000000000009e-01,1.598000000000000087e+00,1.780999999999999917e+00,1.713000000000000078e+00,1.626999999999999780e+00,1.679000000000000048e+00,1.721999999999999975e+00,1.723999999999999977e+00,1.779000000000000137e+00,1.669999999999999929e+00,1.781999999999999806e+00,1.002999999999999892e+00,1.620000000000000107e+00,1.776000000000000023e+00,1.764999999999999902e+00,1.730999999999999872e+00,1.754999999999999893e+00,1.749000000000000110e+00,1.663000000000000034e+00,1.404000000000000137e+00,1.000000000000000056e-01,5.010000000000000009e-01,0.000000000000000000e+00
7.970000000000000417e-01,9.379999999999999449e-01,2.908999999999999808e+00,1.314000000000000057e+00,5.629999999999999449e-01,9.150000000000000355e-01,6.570000000000000284e-01,1.431000000000000050e+00,8.440000000000000835e-01,4.700000000000000011e-02,7.269999999999999796e-01,7.740000000000000213e-01,1.125999999999999890e+00,1.770999999999999908e+00,1.950999999999999845e+00,1.751999999999999780e+00,1.671999999999999931e+00,1.863000000000000211e+00,1.854000000000000092e+00,1.733000000000000096e+00,1.738000000000000211e+00,1.814999999999999947e+00,1.149000000000000021e+00,1.729000000000000092e+00,1.769000000000000128e+00,1.771999999999999797e+00,1.743999999999999995e+00,1.709000000000000075e+00,1.715000000000000080e+00,1.796999999999999931e+00,1.816999999999999948e+00,1.774999999999999911e+00,1.715999999999999970e+00,1.384000000000000119e+00,1.854000000000000092e+00,1.764000000000000012e+00,1.675000000000000044e+00,1.723000000000000087e+00,1.825999999999999845e+00,1.759000000000000119e+00,1.759000000000000119e+00,1.725000000000000089e+00,1.764999999999999902e+00,1.739999999999999991e+00,7.000000000000000666e-02,1.708000000000000185e+00,1.743000000000000105e+00,1.745000000000000107e+00,1.681999999999999940e+00,1.774000000000000021e+00,1.846999999999999975e+00,1.779000000000000137e+00,1.738000000000000211e+00,1.804000000000000048e+00,1.814000000000000057e+00,1.360000000000000098e+00,1.730999999999999872e+00,1.693000000000000060e+00,1.860000000000000098e+00,1.644000000000000128e+00,1.648000000000000131e+00,1.728000000000000203e+00,1.875000000000000000e+00,8.909999999999999032e-01,7.269999999999999796e-01,2.810000000000000275e-01,0.000000000000000000e+00
1.648000000000000131e+00,7.659999999999999032e-01,2.343999999999999861e+00,6.729999999999999316e-01,2.550000000000000044e-01,7.890000000000000346e-01,8.120000000000000551e-01,1.740999999999999881e+00,1.393000000000000016e+00,1.390000000000000124e-01,3.250000000000000111e-01,1.161000000000000032e+00,1.229999999999999982e+00,1.825999999999999845e+00,1.929999999999999938e+00,1.695000000000000062e+00,1.700999999999999845e+00,1.886999999999999789e+00,1.798000000000000043e+00,1.665999999999999925e+00,1.758000000000000007e+00,1.759000000000000119e+00,5.799999999999999600e-01,1.728000000000000203e+00,1.779000000000000137e+00,1.838000000000000078e+00,1.786000000000000032e+00,1.770000000000000018e+00,1.665999999999999925e+00,1.748000000000000220e+00,1.790000000000000036e+00,1.736999999999999877e+00,1.845999999999999863e+00,1.252999999999999892e+00,1.733999999999999986e+00,1.804999999999999938e+00,1.768000000000000016e+00,1.756000000000000005e+00,1.774999999999999911e+00,1.773000000000000131e+00,1.778000000000000025e+00,1.788000000000000034e+00,1.816999999999999948e+00,1.661000000000000032e+00,1.620000000000000051e-01,1.706999999999999851e+00,1.781999999999999806e+00,1.774999999999999911e+00,1.776000000000000023e+00,1.814999999999999947e+00,1.756000000000000005e+00,1.754000000000000004e+00,1.751999999999999780e+00,1.676999999999999824e+00,1.695000000000000062e+00,1.531999999999999806e+00,1.799000000000000155e+00,1.685000000000000053e+00,1.825999999999999845e+00,1.798000000000000043e+00,1.774999999999999911e+00,1.735000000000000098e+00,1.681999999999999940e+00,7.659999999999999032e-01,8.349999999999999645e-01,4.410000000000000031e-01,0.000000000000000000e+00
6.420000000000000151e-01,1.778000000000000025e+00,2.395000000000000018e+00,1.604999999999999982e+00,2.469999999999999973e-01,1.012000000000000011e+00,4.939999999999999947e-01,2.246999999999999886e+00,1.135999999999999899e+00,4.900000000000000189e-02,5.929999999999999716e-01,5.429999999999999272e-01,1.012000000000000011e+00,1.850000000000000089e+00,1.925000000000000044e+00,1.748000000000000220e+00,1.616999999999999993e+00,1.825999999999999845e+00,1.838999999999999968e+00,1.644000000000000128e+00,1.621999999999999886e+00,1.768000000000000016e+00,1.530999999999999917e+00,1.818999999999999950e+00,1.689999999999999947e+00,1.729000000000000092e+00,1.743000000000000105e+00,1.733999999999999986e+00,1.669000000000000039e+00,1.818000000000000060e+00,1.705999999999999961e+00,1.760999999999999899e+00,1.685000000000000053e+00,1.159999999999999920e+00,1.769000000000000128e+00,1.748000000000000220e+00,1.656999999999999806e+00,1.748000000000000220e+00,1.760000000000000009e+00,1.858999999999999986e+00,1.713000000000000078e+00,1.703000000000000069e+00,1.689000000000000057e+00,1.794000000000000039e+00,9.900000000000000466e-02,1.748000000000000220e+00,1.665000000000000036e+00,1.758000000000000007e+00,1.711999999999999966e+00,1.754999999999999893e+00,1.750000000000000000e+00,1.746999999999999886e+00,1.748000000000000220e+00,1.771999999999999797e+00,1.685000000000000053e+00,1.778000000000000025e+00,1.768000000000000016e+00,1.784999999999999920e+00,1.796000000000000041e+00,1.684000000000000163e+00,1.661000000000000032e+00,1.789000000000000146e+00,1.818999999999999950e+00,6.420000000000000151e-01,5.180000000000000160e-01,2.469999999999999973e-01,0.000000000000000000e+00
1.378000000000000114e+00,7.750000000000000222e-01,1.980999999999999872e+00,1.034000000000000030e+00,6.890000000000000568e-01,8.619999999999999885e-01,9.479999999999999538e-01,1.205999999999999961e+00,6.029999999999999805e-01,2.590000000000000080e-01,5.170000000000000151e-01,8.619999999999999885e-01,1.291999999999999815e+00,1.648000000000000131e+00,1.856999999999999984e+00,1.858000000000000096e+00,1.656999999999999806e+00,1.686999999999999833e+00,1.824999999999999956e+00,1.681999999999999940e+00,1.629000000000000004e+00,1.786999999999999922e+00,7.750000000000000222e-01,1.771999999999999797e+00,1.673000000000000043e+00,1.844000000000000083e+00,1.705000000000000071e+00,1.858000000000000096e+00,1.703999999999999959e+00,1.885999999999999899e+00,1.731999999999999984e+00,1.720999999999999863e+00,1.844999999999999973e+00,9.479999999999999538e-01,1.664000000000000146e+00,1.729999999999999982e+00,2.034000000000000252e+00,1.961999999999999966e+00,1.826999999999999957e+00,1.556999999999999940e+00,1.793000000000000149e+00,1.891999999999999904e+00,1.800999999999999934e+00,1.664000000000000146e+00,8.599999999999999312e-02,1.710999999999999854e+00,1.766000000000000014e+00,1.665000000000000036e+00,1.673000000000000043e+00,1.798000000000000043e+00,1.870999999999999996e+00,1.858000000000000096e+00,1.804000000000000048e+00,1.768000000000000016e+00,1.895999999999999908e+00,1.465000000000000080e+00,1.909999999999999920e+00,1.811999999999999833e+00,1.758000000000000007e+00,1.956999999999999851e+00,1.938000000000000167e+00,1.681000000000000050e+00,1.749000000000000110e+00,9.479999999999999538e-01,1.291999999999999815e+00,1.719999999999999862e-01,0.000000000000000000e+00
1.274000000000000021e+00,1.358999999999999986e+00,2.548999999999999932e+00,5.100000000000000089e-01,4.249999999999999889e-01,1.443999999999999950e+00,8.499999999999999778e-01,2.124000000000000110e+00,1.104000000000000092e+00,4.249999999999999889e-01,3.400000000000000244e-01,6.800000000000000488e-01,2.294000000000000039e+00,1.618999999999999995e+00,1.676999999999999824e+00,1.646999999999999797e+00,1.664000000000000146e+00,1.633000000000000007e+00,1.679000000000000048e+00,1.629999999999999893e+00,1.654000000000000137e+00,1.756000000000000005e+00,5.100000000000000089e-01,1.875000000000000000e+00,1.656999999999999806e+00,1.790000000000000036e+00,1.803000000000000158e+00,1.828000000000000069e+00,1.719000000000000083e+00,1.720999999999999863e+00,1.925000000000000044e+00,1.884000000000000119e+00,1.804999999999999938e+00,1.104000000000000092e+00,1.725000000000000089e+00,1.811999999999999833e+00,1.699999999999999956e+00,1.635999999999999899e+00,1.751999999999999780e+00,1.593000000000000194e+00,1.699999999999999956e+00,1.685000000000000053e+00,1.588999999999999968e+00,1.764000000000000012e+00,3.400000000000000244e-01,1.626999999999999780e+00,1.633000000000000007e+00,1.655999999999999917e+00,1.780000000000000027e+00,1.594000000000000083e+00,1.709999999999999964e+00,1.723999999999999977e+00,1.746999999999999886e+00,1.790000000000000036e+00,1.808000000000000052e+00,6.800000000000000488e-01,1.813000000000000167e+00,1.743999999999999995e+00,1.794000000000000039e+00,1.759000000000000119e+00,1.791999999999999815e+00,1.766000000000000014e+00,1.950999999999999845e+00,5.100000000000000089e-01,1.358999999999999986e+00,5.100000000000000089e-01,0.000000000000000000e+00
6.430000000000000160e-01,1.800000000000000044e+00,2.185000000000000053e+00,9.000000000000000222e-01,2.570000000000000062e-01,1.541999999999999815e+00,1.220999999999999863e+00,1.864000000000000101e+00,1.478000000000000203e+00,3.210000000000000075e-01,1.092999999999999972e+00,4.500000000000000111e-01,1.350000000000000089e+00,1.656999999999999806e+00,1.611999999999999877e+00,1.588000000000000078e+00,1.601999999999999869e+00,1.529000000000000137e+00,1.715999999999999970e+00,1.601999999999999869e+00,1.618999999999999995e+00,1.668000000000000149e+00,2.634999999999999787e+00,1.715000000000000080e+00,1.651000000000000023e+00,1.740999999999999881e+00,1.710999999999999854e+00,1.745999999999999996e+00,1.868999999999999995e+00,1.693000000000000060e+00,1.703000000000000069e+00,1.715999999999999970e+00,1.643000000000000016e+00,1.028000000000000025e+00,1.739999999999999991e+00,1.669999999999999929e+00,1.695000000000000062e+00,1.780999999999999917e+00,1.568999999999999950e+00,1.803000000000000158e+00,1.703999999999999959e+00,1.625000000000000000e+00,1.725000000000000089e+00,1.718000000000000194e+00,1.930000000000000049e-01,1.760999999999999899e+00,1.713000000000000078e+00,1.584999999999999964e+00,1.750000000000000000e+00,1.665999999999999925e+00,1.685000000000000053e+00,1.746999999999999886e+00,1.654000000000000137e+00,1.760999999999999899e+00,1.688000000000000167e+00,6.430000000000000160e-01,1.633000000000000007e+00,1.715999999999999970e+00,1.678000000000000158e+00,1.760999999999999899e+00,1.695999999999999952e+00,1.669000000000000039e+00,1.723999999999999977e+00,1.350000000000000089e+00,9.640000000000000790e-01,3.860000000000000098e-01,0.000000000000000000e+00
1.331999999999999851e+00,1.175000000000000044e+00,1.959000000000000075e+00,1.489000000000000101e+00,6.270000000000000018e-01,1.570000000000000007e-01,1.570000000000000007e-01,2.193999999999999950e+00,4.699999999999999734e-01,7.799999999999999989e-02,3.130000000000000004e-01,1.409999999999999920e+00,1.096999999999999975e+00,1.776000000000000023e+00,1.728000000000000203e+00,1.683000000000000052e+00,1.736999999999999877e+00,1.864000000000000101e+00,1.878000000000000114e+00,1.504000000000000004e+00,1.956999999999999851e+00,1.904000000000000137e+00,3.920000000000000151e-01,1.728000000000000203e+00,1.679999999999999938e+00,1.800000000000000044e+00,1.735999999999999988e+00,1.629000000000000004e+00,1.929999999999999938e+00,1.918000000000000149e+00,1.958000000000000185e+00,1.938000000000000167e+00,1.830000000000000071e+00,1.096999999999999975e+00,1.729000000000000092e+00,1.703999999999999959e+00,1.830999999999999961e+00,1.860000000000000098e+00,1.878000000000000114e+00,1.793000000000000149e+00,1.820000000000000062e+00,1.818000000000000060e+00,1.824999999999999956e+00,1.860000000000000098e+00,2.349999999999999867e-01,1.826999999999999957e+00,1.888000000000000123e+00,1.896999999999999797e+00,1.699999999999999956e+00,1.810999999999999943e+00,1.651999999999999913e+00,1.860999999999999988e+00,1.983999999999999986e+00,1.793000000000000149e+00,1.850000000000000089e+00,1.409999999999999920e+00,1.730999999999999872e+00,1.678000000000000158e+00,1.715999999999999970e+00,1.626999999999999780e+00,1.796999999999999931e+00,1.739000000000000101e+00,1.760999999999999899e+00,7.049999999999999600e-01,6.270000000000000018e-01,4.699999999999999734e-01,0.000000000000000000e+00
1.303000000000000158e+00,5.959999999999999742e-01,9.620000000000000773e-01,1.260000000000000009e+00,3.410000000000000253e-01,1.481999999999999984e+00,8.940000000000000169e-01,1.856999999999999984e+00,7.149999999999999689e-01,1.019999999999999934e-01,1.856999999999999984e+00,7.240000000000000879e-01,9.030000000000000249e-01,1.843000000000000194e+00,1.801999999999999824e+00,1.756999999999999895e+00,1.763000000000000123e+00,1.814999999999999947e+00,1.745000000000000107e+00,1.735999999999999988e+00,1.771999999999999797e+00,1.735999999999999988e+00,9.959999999999999964e-01,1.779000000000000137e+00,1.766999999999999904e+00,1.784000000000000030e+00,1.748000000000000220e+00,1.800000000000000044e+00,1.784000000000000030e+00,1.750000000000000000e+00,1.780999999999999917e+00,1.733999999999999986e+00,1.705999999999999961e+00,1.004999999999999893e+00,1.751999999999999780e+00,1.766999999999999904e+00,1.781999999999999806e+00,1.798000000000000043e+00,1.844999999999999973e+00,1.740999999999999881e+00,1.748000000000000220e+00,1.771999999999999797e+00,1.784999999999999920e+00,1.730999999999999872e+00,1.700000000000000122e-01,1.760000000000000009e+00,1.794000000000000039e+00,1.779000000000000137e+00,1.740999999999999881e+00,1.788000000000000034e+00,1.760000000000000009e+00,1.725999999999999979e+00,1.738000000000000211e+00,1.823000000000000176e+00,1.766999999999999904e+00,1.056000000000000050e+00,1.825999999999999845e+00,1.739999999999999991e+00,1.764000000000000012e+00,1.791999999999999815e+00,1.824999999999999956e+00,1.786000000000000032e+00,1.790999999999999925e+00,8.690000000000001057e-01,8.599999999999999867e-01,5.190000000000000169e-01,0.000000000000000000e+00
