class,TW,HM,IQ,RS,PE,MM,DA,AW,PQ,WD,AI,QA,EP,EW,GA,MD,HC,VS,QW,LD,TD,AE,QR,PP,MH,MR,LT,VC,FE,AA,HD,YM,WT,QT
0.0,0.0,0.0,0.2232142857,0.0,0.3623188406,0.3460207612,0.1632653061,0.1081081081,0.0,0.055157198,0.0416666667,0.0,0.0,0.0,0.0784313725,0.0,0.119047619,0.0,0.0,0.4709576138,0.0,0.0,0.0,0.0,0.0,0.0,0.2564102564,0.1785714286,0.0,0.32,0.3628117914,0.0,0.1801801802,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.5357142856999999,0.0,0.0,0.0,0.1388888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571,0.0,0.1322751323,0.0
0.0,0.0,0.0,0.2081165453,0.0,0.0,0.2551020408,0.1521298174,0.1838235294,0.0,0.0,0.09487666030000001,0.0,0.0,0.0,0.2941176471,0.1231527094,0.0,0.105764146,0.1344086022,0.1436781609,0.0,0.0,0.0,0.1836547291,0.1913265306,0.0,0.1157407407,0.0827129859,0.2192982456,0.08650519029999999,0.09236453200000003,0.0,0.2893518519,0.0896057348
0.0,0.0628930818,0.09852216750000001,0.1100110011,0.0,0.0,0.0816326531,0.2774221084,0.1062981664,0.1666666667,0.1143510577,0.2231209036,0.1564945227,0.2105263158,0.0,0.08536064869999999,0.1298701299,0.2028397566,0.0952380952,0.0524109015,0.1377410468,0.101010101,0.0741289844,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0595120016,0.1567398119,0.0,0.1257861635,0.0925925926
0.0,0.0530222694,0.0769230769,0.09818360329999999,0.0,0.0,0.5,0.0534188034,0.0,0.0,0.16937669379999998,0.1189532117,0.0,0.0,0.0,0.16025641029999999,0.0,0.1125703565,0.2747252747,0.0,0.0,0.0301932367,0.0,0.0,0.2066115702,0.0,0.0,0.0,0.1016260163,0.0,0.0,0.1495726496,0.0,0.1590668081,0.1035196687
0.0,0.0,0.0,0.0,0.0,0.0,0.826446281,0.3676470588,0.0,0.0,0.0,0.0,0.8333333333,0.0,0.0,0.0,0.5347593583000001,0.0,0.0,0.4444444444,0.0,1.6806722688999998,0.0,0.0,0.0,0.0,0.0,1.7857142857,0.0,0.0,0.78125,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.4938271604999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314814815,0.0,0.0,0.0,0.0,0.0,1.6666666666999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1960784314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571,0.0,0.5952380952,0.6085192697999999,0.0,0.0,0.8695652173999999,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960784,0.0,0.0,0.0,0.0,0.4140786749,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6535947712,0.0,0.0,0.0,0.2352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571429,0.6944444444,0.0,0.0,0.0,0.6172839506000001,0.0,0.0,0.0,0.0,0.0,0.0,0.29239766079999996,0.0,0.0,0.0
0.0,0.0336927224,0.045045045,0.0262858144,0.0,0.0385728062,0.0090702948,0.036896479,0.0554938957,0.0698893419,0.05325623860000001,0.0520562207,0.0258849414,0.1157184185,0.0154655119,0.0840336134,0.0384024578,0.0621310966,0.031562999700000004,0.0186811134,0.060483871,0.0384024578,0.0642880103,0.0,0.0553633218,0.0386100386,0.0,0.0892857143,0.039544448,0.0321440051,0.0427186125,0.0544899738,0.0,0.1010781671,0.0471475719
