class,PAAC14,PAAC1,PAAC8,PAAC20,PAAC11,PAAC2,PAAC10,PAAC28,PAAC3,PAAC19,PAAC7,PAAC5
0.0,1.549,0.6920000000000001,0.387,1.024,2.656,0.636,1.411,1.827,1.328,0.5529999999999999,1.162,0.36
0.0,1.003,0.401,0.1,1.053,3.159,0.602,1.354,1.604,1.805,0.552,1.404,0.251
0.0,0.915,0.797,0.7269999999999999,1.126,2.909,0.774,0.938,1.7380000000000002,1.149,0.7269999999999999,0.8909999999999999,0.07
0.0,0.789,1.648,0.8349999999999999,1.23,2.344,1.161,0.7659999999999999,1.758,0.58,0.325,0.7659999999999999,0.162
0.0,1.012,0.642,0.518,1.012,2.395,0.5429999999999999,1.778,1.6219999999999999,1.531,0.593,0.642,0.099
0.0,0.862,1.378,1.2919999999999998,1.2919999999999998,1.981,0.862,0.775,1.629,0.775,0.517,0.948,0.086
0.0,1.444,1.274,1.359,2.294,2.549,0.68,1.359,1.654,0.51,0.34,0.51,0.34
0.0,1.5419999999999998,0.643,0.964,1.35,2.185,0.45,1.8,1.619,2.635,1.093,1.35,0.193
0.0,0.157,1.3319999999999999,0.627,1.097,1.959,1.41,1.175,1.957,0.392,0.313,0.705,0.235
0.0,1.482,1.303,0.86,0.903,0.962,0.724,0.596,1.7719999999999998,0.9960000000000002,1.857,0.8690000000000001,0.17
0.0,0.958,1.171,1.224,1.597,1.4369999999999998,0.7979999999999999,1.118,1.639,0.958,0.585,1.277,0.266
0.0,1.3650000000000002,1.124,1.6059999999999999,1.847,2.81,0.562,1.445,1.79,0.401,0.963,0.401,0.08
0.0,1.138,1.77,1.2009999999999998,1.77,2.781,0.822,0.632,1.634,0.379,0.695,1.138,0.253
0.0,0.733,0.977,0.977,0.733,1.2209999999999999,0.814,1.547,1.734,0.733,0.6509999999999999,0.814,0.244
0.0,0.968,2.163,1.879,1.195,2.675,0.911,1.138,1.831,0.512,0.626,0.797,0.228
0.0,1.11,1.19,0.634,1.19,1.428,1.19,0.952,1.614,1.031,0.555,1.031,0.238
0.0,1.3,0.767,0.5329999999999999,0.9,2.25,0.617,1.3670000000000002,1.777,1.183,0.65,0.7829999999999999,0.367
0.0,1.1150000000000002,1.003,1.561,1.1150000000000002,1.449,0.78,1.338,1.531,1.895,1.003,0.78,0.111
0.0,1.008,0.8249999999999998,1.008,0.8249999999999998,1.7409999999999999,0.733,1.375,1.635,1.833,0.8249999999999998,1.1909999999999998,0.183
0.0,0.462,1.696,1.2329999999999999,0.925,2.467,1.079,0.925,1.664,0.462,0.154,1.2329999999999999,0.308
0.0,0.839,0.973,1.141,0.973,1.712,0.906,1.107,1.743,0.873,0.873,0.705,0.101
0.0,0.912,0.912,1.977,0.608,2.129,1.064,1.064,1.7169999999999999,0.912,0.912,0.456,0.304
0.0,1.484,1.979,1.625,1.837,2.6860000000000004,1.06,1.272,1.773,0.141,0.7070000000000001,0.353,0.212
1.0,0.423,1.834,1.599,1.082,1.176,0.611,0.47,1.714,0.799,0.282,1.082,0.0
1.0,0.29,1.276,0.986,1.044,2.61,1.334,0.406,1.71,0.87,0.232,0.754,0.29
1.0,0.65,2.035,1.299,1.083,0.9960000000000002,0.909,0.693,1.724,1.515,0.346,1.429,0.173
1.0,0.309,0.914,0.38,0.937,2.753,0.6759999999999999,0.8540000000000001,1.775,1.1150000000000002,0.273,1.839,0.225
1.0,0.598,1.628,1.097,1.595,2.26,0.731,0.698,1.751,0.731,0.299,1.163,0.299
1.0,0.54,0.9,1.349,1.439,1.799,0.9,0.9900000000000002,1.808,0.54,0.72,0.72,0.72
1.0,0.78,1.726,1.281,2.227,2.283,1.3359999999999999,1.114,1.729,0.6679999999999999,0.8349999999999999,0.557,0.724
1.0,0.369,2.252,0.775,1.144,1.587,0.406,1.55,1.663,2.03,0.258,1.107,0.184
1.0,0.376,1.416,1.127,0.925,2.369,0.607,0.693,1.719,0.693,0.404,1.3,0.664
0.0,0.962,1.237,0.871,0.687,1.833,0.733,1.329,1.802,0.962,0.871,0.8249999999999998,0.046
1.0,1.129,0.8259999999999998,1.826,1.056,1.455,0.77,1.112,1.694,1.281,0.837,0.815,0.865
1.0,1.02,1.215,1.118,1.361,1.604,0.875,1.02,1.744,0.7290000000000001,0.777,0.8259999999999998,0.43700000000000006
1.0,1.263,1.208,1.043,1.4269999999999998,2.141,0.604,1.976,1.789,0.7140000000000001,0.933,0.384,0.494
1.0,1.12,1.095,1.195,1.493,2.115,0.921,1.045,1.816,0.672,0.747,0.473,0.547
1.0,1.189,0.941,1.139,1.239,1.982,0.768,1.09,1.754,0.916,0.916,0.396,0.52
1.0,0.982,1.686,1.4509999999999998,1.046,1.644,1.3019999999999998,0.7040000000000001,1.7069999999999999,0.598,0.512,0.363,0.47
1.0,0.927,0.9930000000000002,0.86,1.39,1.7209999999999999,0.9930000000000002,1.257,1.629,0.397,0.662,0.596,0.86
1.0,0.972,0.756,0.54,0.43200000000000005,1.513,1.08,1.188,1.917,0.648,0.43200000000000005,1.297,0.43200000000000005
1.0,0.8299999999999998,0.608,1.272,2.046,1.991,1.272,0.94,1.844,0.774,0.774,0.664,0.443
1.0,0.517,1.411,0.894,1.27,1.928,0.753,0.988,1.76,0.941,0.517,0.8,0.47
0.0,0.662,1.213,1.544,1.213,1.158,1.213,0.551,1.7519999999999998,0.496,0.441,0.386,2.151
1.0,0.467,0.933,1.634,0.467,2.1,0.933,0.933,1.791,1.867,0.7,0.0,0.467
1.0,0.32,0.853,1.385,0.639,1.0659999999999998,1.385,0.5329999999999999,1.594,0.426,0.213,1.0659999999999998,0.5329999999999999
1.0,0.344,1.55,1.894,1.378,2.067,1.033,0.344,1.692,0.517,0.172,0.861,0.517
1.0,0.95,1.048,1.458,1.245,1.54,0.934,0.967,1.743,0.754,0.623,0.623,0.541
1.0,0.9930000000000002,1.396,1.1,1.449,1.906,0.939,1.7719999999999998,1.7619999999999998,0.913,0.752,0.51,0.537
1.0,1.039,1.255,0.627,1.235,2.255,0.902,0.98,1.846,0.863,0.49,0.667,0.47
1.0,0.892,2.081,1.645,1.565,1.506,1.149,0.753,1.83,0.634,0.713,0.495,0.159
1.0,0.742,1.113,1.067,0.928,1.577,0.928,1.206,1.732,0.696,0.881,0.881,0.325
1.0,0.595,0.595,1.785,0.9920000000000002,1.19,1.19,0.7929999999999999,2.127,0.595,0.397,0.397,0.397
1.0,0.421,0.21,0.842,1.053,1.895,1.474,0.21,1.821,1.053,1.053,0.421,0.632
0.0,1.058,0.957,1.411,1.713,1.814,0.756,0.756,1.758,0.756,0.705,0.857,0.504
1.0,0.311,0.622,0.932,1.864,1.864,0.622,0.932,2.154,0.311,0.932,0.932,0.311
1.0,0.715,1.196,1.1230000000000002,1.269,1.867,0.977,0.9920000000000002,1.777,0.802,0.5539999999999999,0.686,0.423
1.0,1.063,1.849,1.664,0.971,3.883,0.878,0.6940000000000001,1.699,0.462,0.971,0.647,0.231
1.0,0.65,1.544,1.625,1.219,1.869,0.894,0.325,1.784,0.325,0.894,1.219,0.325
1.0,0.829,2.375,1.412,1.456,2.33,1.3670000000000002,0.448,1.802,0.471,0.448,0.56,0.179
1.0,0.977,1.605,1.116,1.349,2.279,0.93,1.14,1.801,0.7909999999999999,0.7440000000000001,0.465,0.186
1.0,0.875,1.156,0.805,1.156,1.716,0.946,0.805,1.733,0.63,0.665,0.315,0.245
